"","klasifikasi","score","text"
"503","Positif",1,"aksi otes  meluas  minggu   tiongkok  ristiwa kebakaran artemen  menewaskan  or "
"504","Negatif",-1," karna didukung merintah    joran kalo  mah drimana tuh duit omosi segitu gedenya"
"505","Positif",1," tdk ter tutukmungkinan  terjd   klo merintah nye treak trs kodkod yg nyata nya "
"506","Netral",0,"edi  lurahcamat lar  temukan penimbunan sembako  wilayahnya  pemerintah kota pontianak "
"507","Positif",3,"invisible hands tangan gaib rekonomian  tumbuh tan  camr tangan merintah teori  dikemukakan adam smith"
"508","Negatif",-1," ran humas  kominfo  merintah daerah terdat rbedaan direktur jenderal dirjen informasi  komu "
"509","Netral",0,"halo sobatrbpn kabuten tuban da  kamis  desember  kantor pertanahan kabuten tuban  diwakili "
"510","Netral",0,"ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"511","Netral",0,"pemerintah targetkan revisi uu migas ramng jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"512","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"513","Netral",0," gak   sting beginikasihan rakyat  gak kebagiansaya aja    bansos gak "
"514","Netral",0," hadeh  masnya bilang yg ngasih ijin  konser  gbk hak ngelola  dsini meskin hak  "
"515","Netral",0," gejayan  kota  ling   gejayan jogja banjir  merintah nya  memrha "
"516","Positif",1,"pemerintah menetaan enam fokus kebijakan da apbn   semoga  mantauntuk indonesia maju"
"517","Negatif",-1," anggota komisi i dpr  fraksi pdi perjuangan krisantus kurniawan nuntasan rkuhp  uu  pari "
"518","Positif",1,"pemerintah nyatakan  mbangunan sdm kunci nting cai indonesia emas jokowipresidenku "
"519","Positif",2,"  november  merintah salurkan bantuan sosial  r   miliar  mendukung penuh  "
"520","Netral",0,"polres gorontalo kota mendukung senuhnya uya merintah  rcetan vaksinasi "
"521","Negatif",-1,"  endobesia  dikritisi  radikal   demo  okator pdhl rakya "
"522","Negatif",-2,"program kur merukan salah  ogram merintah  dioimalkan  mendukung ngendalian inflasi program "
"523","Positif",1,"tingkatkan ketahanan ngan nasional  komitmen merintah  mengakrabkan kaum milenial  ngan lokal "
"524","Negatif",-1,"pemerintah   sejahterakan masyarakat jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"525","Positif",1,"pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"526","Negatif",-1,"pemerintah targetkan revisi uu migas selesai jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"527","Netral",0,"pemerintah   sanksi daerah  seran apbd rendah "
"528","Positif",1,"pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"529","Negatif",-2,"  knmalah ngelantur bahas izin keramaian anjir mbake gmn sih  lo kir yg nonton u ga  "
"530","Negatif",-2," emangnya merintah dungu ky golongan mu yg hasil anak kawin kontrakjelas ga jd suriah lahgerom "
"531","Positif",1,"holding bumn mendukung nuh uya merintah  mitigasi resiko sistemik rbankanjokowipresidenku "
"532","Netral",0," saran fifa  samakan  sipssi nyamk in  merintah  menratrs munculah kebijakan nahh gituuu alurnyaa"
"533","Netral",0," kinerja merintah alagi luhut yg jeblok"
"534","Negatif",-2," virus polio merebak  indo hoax merintah menebar ketakutan  vaksin  chiditanam didalamn "
"535","Netral",0,"pemerintah emang   "
"536","Negatif",-1,"kominfo rnah dinyatakan bersalah  majelis hakim ptun  mblokiran akses internet  paa  paa barat "
"537","Netral",0,"penghargaan  merukan bentuk aesiasi merintah keda ra hak    kinerja terbaiknya d "
"538","Negatif",-1,"ketiga kebijakan subsidi bahan bakar minyak  ditemh merintah da  agustus  berngaruh sitif t "
"539","Netral",0,"rencana bagibagi rice cooker pemerintah  kaji syarat  anggarannya berita "
"540","Netral",0," merintah daerah  aja bu  sti  merintah sat"
"541","Netral",0," pssi  organisasi   fifa t konteks nya u  acaranya  si doang ta acaranya yg h "
"542","Negatif",-1," loh ni  statusnya ngangguran   dibiarkan  merintah  salah "
"543","Positif",1,"pemerintah  apbn   menteri keuangan sri mulyani  keterangan rsnya  kantor presiden jakarta "
"544","Negatif",-2," kereta cet pemerintah suntik mati ka argo parahyangan "
"545","Netral",0,"menkominfo   jarang rnah kerja    kerja ta  coas caes  tugasnya sbg pr "
"546","Netral",0,"pemerintah  hentikan orasi pltp  indonesia betahita"
"547","Netral",0,"pertumbuhan ekonomi indonesia    les  keseriusan merintah  membangun infrastruktur  "
"548","Netral",0,"  gbk emng ngasih ijin   kek konser tkalau sikon skrng merintah ngikutin a yg   "
"549","Positif",1,"pemerintah  sal  rkuhp  mencederai kebebasan berndat pembangunanbuatrimaju "
"550","Negatif",-1," segitunya menyerag org  kritik merintah loe kenyang makan anggaran negara yah "
"551","Netral",0,"  temuan  peneliti  nurunan lasi orangutan  temuan  indikasi negat "
"552","Netral",0,"syulit disangka ta  kebijakan yg  bagus  rlu utk diaesiasi   ketidakrcayaan blik yg "
"553","Negatif",-1,"kalrestabes medan mengikuti rat koordinasi  rangka penertiban  pengamanan barang milik daerah pemerinta "
"554","Netral",0,"inklusi keuangan   digencarkan merintah   digitalisasi umkmkinerjabriq"
"555","Positif",1,"babinsa cer damngi pendistribusian blt subsidi bbm klaten  kebijakan merintah mengalihkan anggaran subsidi "
"556","Netral",0," iya mangkannya si koar bilang kl stadionnya gabisa dike ahal final saynya   gbk  bera "
"557","Positif",1,"negara  menjamin kesejahteraan am mennggaransi maklumat masyarakat tingkat kriminal  sedikitindonesia le "
"558","Negatif",-1,"masyarakat  terbantu  blt  merintahbantuanbbmuntukrakyat bltbbmtetsasaran "
"559","Positif",1,"pemerintah  mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"560","Netral",0," mohon dr merintah   aturan yg    terhadakamnye lgbt yg maki "
"561","Positif",1," meningkatkan disiin gawai kantor imigrasi kelas ii tpi tual melaksanakan monitoring  evaluasi  "
"562","Netral",0,"dukung ogram merintah rcet nurunan stunting babinsa bunutin koramil  bangli damngi tpps  k "
"563","Positif",1," keluarga  donggala terima pkh bt  blt bbm  merintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"564","Positif",1,"gubernur jawa timur khofifah indar parawansa mengaesiasi event situbondo etnik festival sef  digelar pemer "
"565","Negatif",-2," melangkah  hilangkan duka ringankan beban "
"566","Netral",0," diundang pemerintah australia ahy disambut pejabat  akademisi "
"567","Positif",1,"ketua tim penggerak pkk provinsi jawa barat   istri gub jabar   mengajak komunitas "
"568","Positif",1,"mayoritas laku umkm tetaoimis da merintah terkait tugas tugas utama nya   oimis  kinerja u "
"569","Negatif",-1,"pandemi covid yg cenderung terkendali tatamuka diberlakukan  kerja  kegiatan mbelajaran kebijakan  "
"570","Positif",1,"pemerintah  mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"571","Positif",1," keluarga  donggala terima pkh bt  blt bbm  merintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"572","Negatif",-2," masyarakat  dukung kebijakan merintah  menyesuaikan harga bbm "
"573","Negatif",-1,"kalrestabes medan mengikuti rat koordinasi  rangka penertiban  pengamanan barang milik daerah pemerinta "
"574","Positif",1," heran merintah      serti  berdaya menghada tingkah  kaum s "
"575","Netral",0,"      tahunan menghayal merintah kembangkan nel surya listrik utk  "
"576","Positif",1," mbangunan   sinkron anatar merintah sat  merintah daerah   concern utama pem "
"577","Netral",0,"kehadiran tiktok  as tetadianggaberbahaya "
"578","Positif",1," klau bikin stingan tu yg  yg cabut merintah daerah krn lokasiny lg direhab  jgn suka suudzo "
"579","Positif",2,"  beasiswa  pemerintah  kuliah gratis silakan cek "
"580","Netral",0,"manta pemerintah seratenaga kerja lokal  bangun ikn kotaduniauntuksemua iknsejahterakanindonesia "
"581","Positif",1,"pemerintah memikirkan kesejahteraan rakyat bltbbmbantumasyarakat bansosbbmringankanrakyat "
"582","Positif",1,"pemerintah hebat bantuanbbmuntukrakyat bltbbmtetsasaran subsiditetsasaran cerdaspakaibbm bijakpakaibbm "
"583","Netral",0,"aesiasi yg sebesarnya  merintah deh   "
"584","Negatif",-3," santay instansi merintah butuh orang yg  kerja  kerja  gk ilang ilangan klo salah ya tinggal direvisi"
"585","Negatif",-1,"pemerintah menyiaan  hektar lahan  relokasi korban gem cianjurmerahtihcom gemcianjur gem "
"586","Netral",0," yg gak    fifa  konser  tgl yg udah deket ldun pemerintah gak  urusan  omo "
"587","Netral",0,"ganti foto ofil  foto saml biar ra buzzer koak  tau   akun asli  buzzer  mendukung  "
"588","Negatif",-1," bohong aja luh lagila   pemerintah sat intervensi jaman kaya gini alagi sekedar r "
"589","Negatif",-1," mas luru  merintah knselalu  dzalim ayo bersatu  kl ad yg jelek kritik aja jngn wujudkan larisasingeri mas"
"590","Netral",0,"  elu yg a musitu  emang rsyaratannya  disuruh booster gratis aja lu susah bener gilir "
"591","Negatif",-1,"masyarakat  terbantu  blt  merintahbantuanbbmuntukrakyat bltbbmtetsasaran "
"592","Negatif",-1,"pemerintah putuskan imr beras berita nusabali imr beras"
"593","Netral",0,"bantuan blt bbm  masyarakat    merintah bantuanbbmuntukrakyatbltbbmtetsasaran "
"594","Positif",1,"wakil presiden ri maruf amin  hadan ra tokoh adat  tokoh masyarakat  merintah daerah berhara "
"595","Netral",0," tetasemangat guru dalaman  anak negeri  merintah  mam bayar  biarkan tuhan "
"596","Negatif",-1," ibadah tahajud munajat  sholawat  menghujat  menyebarkan sifat hasad da merintah indahnya ag "
"597","Netral",0," promotor emng kontak nya  pengelola gbk meskin gbk nya ngelolaan  ta gbk  milik "
"598","Positif",2,"jokowi mengimbau merintah  menginisiasi  terobosan  meningkatkan nggunaan oduk  belanja "
"599","Negatif",-1," coba buka data ketersedian langan kerjaan vs ncari kerja  gw ga  "
"600","Netral",0," pemerintah zalim acara anies  cabut izinnya dahal anies  klas dunia kemanan anies "
"601","Negatif",-1,"kalrestabes medan mengikuti rat koordinasi  rangka penertiban  pengamanan barang milik daerah pemerinta "
"602","Negatif",-2," mgkin  ja sengaja cari temt yg ga    biar  menyalahkan merintah kaum kad "
"603","Netral",0,"sahabat datahasil survei khusus intoutt  dilaksanakan pemerintah kota magelang  walidata  "
"604","Positif",1," keluarga  donggala terima pkh bpnt  blt bbm  pemerintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"605","Negatif",-1,"masyarakat  terbantu  blt  merintahbantuanbbmuntukrakyat bltbbmtetsasaran "
"606","Netral",0,"direktur eksr produk industri  pertambangan kementerian perdagangan muhammad suaib sulaiman menyamikan p "
"607","Positif",1," presiden menyamikan ucan terima kasih am nghargaan  dukungan masyarakat kalimantan utamanya suk "
"608","Positif",1,"  clue  kelisian     menambah skil berkendara dibandingkan berhara "
"609","Netral",0,"dukung merintah   blt bbm  nyandang disabilitasbantuanbbmuntukrakyatbltbbmtetsasaran "
"610","Positif",1,"menteri koordinator bidang kemaritiman  investasi menko marves luhut binsar panjaitan mengungkaan merintah "
"611","Negatif",-1,"cegah kemiskinan pemerintah bagikan blt  bsu bantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasaran "
"612","Positif",2,"jokowi mengimbau merintah  menginisiasi  terobosan  meningkatkan nggunaan oduk  belanja "
"613","Negatif",-1," pemerintah    bantuan  masyarakat membeli stb ya k harga stb  mahal k"
"614","Netral",0," pemerintah nyatakan pembangunan sdm jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"615","Netral",0,"pemerintah  menyusun netan anggaran pendatan  belanja negara apbn  menkeu memarkan ndata "
"616","Netral",0," pembela k jokowi  rakyat jelata rakyat  tulus  ikhlas  butuh bayaran serti  "
"617","Netral",0,"dinas perstakaan  kearsin kota bengkulu menggelar sosialisasi aikasi srikandi  menyukseskan gerakan n "
"618","Netral",0," pemerintah gelontorkan belanja negara r t "
"619","Positif",1," bijak  langkah pemerintah jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"620","Netral",0,"pemerintah bagikan blt  bsu   nyesuaian harga bbm bantuanbbmuntukrakyatbltbbmtetsasaran "
"621","Netral",0,"terimakasih merintahadanya ngalihan bbm  lindungi masyarakatbantuanbbmuntukrakyatbltbbmtetsasaran "
"622","Negatif",-1,"waspada misi terselubung jessica sternas  bhw utusan khusus as u memajukan ham lgbtqistern berkunju "
"623","Negatif",-1," wkwkw islam radikal aan  radikal dat bantuan   merintah"
"624","Negatif",-1,"masyarakat  terbantu  blt  merintahbantuanbbmuntukrakyat bltbbmtetsasaran "
"625","Negatif",-2," denger  bulik  yg    ldii akah  salah  alasan kena ldii engga "
"626","Positif",1,"  komitmen investasi  merintah amerika serikat  skema partnershifor global infrastructure "
"627","Netral",0,"blt bbm  merintahadanya ngalihan bbm  lindungi masyarakatbantuanbbmuntukrakyatbltbbmtetsasaran "
"628","Netral",0," waahh  kasitas a yaa lok cuman  teman ketemu biar akrab yaa gk  lok  namakan peme "
"629","Positif",1,"hebat merintah siamenjalankan konsolidasi fiskal jokowipresidenkupembangunanuntukrakyat "
"630","Negatif",-2," peralihan tv  merintah  masyarakat   mam   masyarakat  mam membeli stb"
"631","Negatif",-1,"bps oimistis inflasi       target merintah    year to date ytd"
"632","Positif",1,"menteri keuangan sri mulyani indrawati mengungkaan merintah menargetkan target ndatan negara  r "
"633","Positif",1,"bijak  pemerintah jokowipresidenkupembangunanuntukrakyatpresidenjokowihebatjokowimembangunnegeri "
"634","Netral",0,"minat investor    merintah rluas area investasi  iknkotaduniauntuksemua "
"635","Positif",1," semoga yg hatinya  bersih  terkontaminasi retorika milu     mantan hti  ahm "
"636","Netral",0,"kegiatan evaluasi  tindak  penjaminan mutu pendidikan  pemerintah daerahkegiatan  dilaksa "
"637","Negatif",-1,"kalrestabes medan mengikuti rat koordinasi  rangka penertiban  pengamanan barang milik daerah pemerinta "
"638","Positif",1," iya dahal merintah jeng     serti  subsidi keda "
"639","Negatif",-1," masyarakat sti dukung langkah merintah bantuanbbmuntukrakyat "
"640","Negatif",-2," masyarakat  dukung kebijakan merintah  menyesuaikan harga bbm "
"641","Netral",0,"   pemerintah   mbahasan internal  menyusun daftar inventarisasi  dim ranc "
"642","Positif",1," keluarga  donggala terima pkh bpnt  blt bbm  pemerintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"643","Netral",0,"overlay acwc mbuatan rkir limosin  luasan  ha  street furniture perseroan berharadengan sel "
"644","Negatif",-1," ngentasan kemiskinan digitalisasi administrasi merintah ningkatan investasi  rcetan ogra "
"645","Positif",1,"pemerintah  menguyakan rbaikan   sektor birokrasi   nyusunan agenda reformasi birok "
"646","Positif",1,"  sertifikat halal yg terbitin mui  merintah"
"647","Positif",1," keluarga  donggala terima pkh bpnt  blt bbm  pemerintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"648","Netral",0,"demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"649","Netral",0,"investor  ikn nusantara  status lahan  hak kemilikan  sebatas hak ngelolaan temnasional "
"650","Negatif",-1,"perseroan berharadengan selesainya kerjaan nataan  dat membawa nama  indonesia  mata dunia  p "
"651","Netral",0,"pemerintah berniat  merevisi undangundang nomor      kota negara ikn"
"652","Netral",0,"minat investor   merintah indonesia memrluas area investasi  iknkotaduniauntuksemua "
"653","Netral",0,"    bahasa   zalimi kriminalisasi merintah thagut rezim komunis     yg "
"654","Negatif",-2,"kerja gak keliatan kontroversinya terdengar beban merintah nih orang "
"655","Negatif",-1," hadir mendukung pemerintah  atasi krisis ekonomi dunia jokowipresidenkupembangunanuntukrakyat "
"656","Positif",1," keluarga  donggala terima pkh bpnt  blt bbm  pemerintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"657","Negatif",-1," udah    dishare hasil otoinya emang sengaja ngilangin bb a gimana emg susah lawan merintah konoha"
"658","Negatif",-1,"pemerintah siabantu masyarakat  bidang rbankan jokowipresidenkupembangunanuntukrakyat "
"659","Netral",0,"halo warga kotatangerang  rangka menjelang    pemerintah kota tangerang  dinas perindu "
"660","Negatif",-1," nasdrun  aying victim seakan jajaran merintah daerahsat menghalangi kegiatan litik keg "
"661","Positif",1," keluarga  donggala terima pkh bpnt  blt bbm  pemerintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"662","Negatif",-2,"   diatas kalo bermasalah merintah  bertanggung   sami  berita yg men "
"663","Netral",0," pemerintah siamelaksanakan acara presidensi g   kawasan    berlanjut  nunjan "
"664","Netral",0,"  dukung pemerintah bangun ikn nusantara kotaduniauntuksemua "
"665","Negatif",-1,"  manfaat tes uji sim motor susah  merintah daerah gak rlu benerin jalan"
"666","Negatif",-1,"berterima kasih k merintah  nyaluran blt bbm "
"667","Negatif",-1,"masyarakat  terbantu   blt bbm  merintah bltbbmbantumasyarakat "
"668","Positif",1,"alhamdulillah  mendatkan blt bbm  merintah "
"669","Netral",0,"merintah  duli  rakyat "
"670","Positif",1," keluarga  donggala terima pkh bpnt  blt bbm  pemerintahbantuanbbmuntukrakyatbltbbmtetsasaran "
"671","Netral",0,"pemerintah siamenjalankan konsolidasi fiskal jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"672","Negatif",-1,"apbn jg berran sbg instrumen stabilitas dlm ngendalian inflasi rlindungan sosial bg masyarakat rentan sert "
"673","Netral",0," jiahhh ketar ketir doi  sia dahal apbn gak megang ad a  ta merintah takutnya "
"674","Netral",0," revormasi  orde      rtai kamnye  lokasi  strategis  diberiak "
"675","Netral",0,"pemerintah mam tingkatan nggunaan oduk  negeri jokowipresidenkupembangunanuntukrakyat "
"676","Netral",0,"dukung merintah   blt bbm  nyandang disabilitasbantuanbbmuntukrakyatbltbbmtetsasaran "
"677","Netral",0," sila  ketuhanan yg maha esa   jdi tokan kl "
"678","Negatif",-1," hai kak taxmin  konfirmasi  ya kak  yg  jasa tsb  wp op  untu "
"679","Netral",0,"minat investor  pemerintah perluas area investasi  iknkotaduniauntuksemuaiknsejahterakanindonesia "
"680","Netral",0,"pj sekda kab kediri iradi suwignyo  meles keberangkatan tim relawan ungkaan resn cet   buk "
"681","Positif",1,"alhamdulillah  mendatkan blt bbm  merintah "
"682","Negatif",-1,"berterima kasih k merintah  nyaluran blt bbm "
"683","Netral",0,"merintah  duli  rakyat "
"684","Positif",1,"maturnuwun pemerintah    bantuan serti blt bbm bltbbmbantumasyarakat "
"685","Netral",0," radikal aradikal krn sekedar tdk o merintahini namanya anti demokrasidemokrasi men "
"686","Negatif",-1,"kalrestabes medan mengikuti rat koordinasi  rangka penertiban  pengamanan barang milik daerah pemerinta "
"687","Netral",0,"ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"688","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"689","Negatif",-2," rakyat aceh setuju   pj ngak setuju bukti ra main curang "
"690","Negatif",-1," berdasarkan ran  konferensi rs apbn  november   terdat informasi  data si "
"691","Netral",0,"revisi uu ikn pemerintah akui  investor "
"692","Netral",0," pengangum nabi muhammad saw  ta hoax mainannya buzer anies  "
"693","Netral",0,"ahy disambut akademisi  jabat blikpartaidemokratahy pemimn mendunia"
"694","Netral",0,"dukung merintah   blt bbm  nyandang disabilitasbantuanbbmuntukrakyatbltbbmtetsasaran "
"695","Negatif",-1,"anggota dpr paramitha cek program pemerintah bantu listrik warga miskin  brebes "
"696","Positif",2," tenaga ofesi siang  diberangkatkan  lokasi gem cianjur jawa barat  kantor pemerintah kabuten luma "
"697","Netral",0,"   dinegara  terkesan takut berhadan dgn anasirs radikalisme agama faktanya meskin  "
"698","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"699","Positif",2,"catatan  snbp  prestasi  calon mahasiswa  membayar   snbt  tes   kontribusi   "
"700","Positif",1,"pemerintah  laksanaan hasil ktt g  disesuaikan  ioritas  diusung  presidensi g "
"701","Netral",0," tolak   rangka kamnye lgbt  berani nolak hak  berwenang  takut da "
"702","Positif",1,"   berjuang menegakkan demokrasi    mahasiswa   mendemo  "
"703","Netral",0,"   diralat   jembut  sambut tetasaja jd hujatannamun  jembut   yg "
"704","Negatif",-1,"ganjar mendorong merintah kabuten malang  masyarakat   mengelola  menata tensi wisata  "
"705","Negatif",-1," masyarakat sti dukung langkah merintah bantuanbbmuntukrakyat bltbbmtetsasaran "
"706","Netral",0,"demokrat pemerintah  andalkan imrpartaidemokratahy pemimn mendunia"
"707","Negatif",-1," berdasarkan ran  konferensi rs apbn  november   terdat informasi  data s "
"708","Netral",0,"revitalisasi lokananta merintah dorong industri kreatif ciakanindustrikreatifri sukseskanpambangunanikn "
"709","Positif",1,"maturnuwun pemerintah    bantuan serti blt bbm bltbbmbantumasyarakat "
"710","Negatif",-1,"masyarakat  terbantu   blt bbm  merintah bltbbmbantumasyarakat "
"711","Negatif",-2," wajar kalo merintah bertanggungjwb ta     bencana alam    ngelus d "
"712","Netral",0,"ahy nuhi undangan merintah australiapartaidemokratahy pemimn mendunia"
"713","Netral",0," data kemenkeu  buku apbn  edisi november  utang merintah    jenis  surat "
"714","Positif",1,"menkeu sri mulyani  utang merintah indonesia  aman teta tetaharus dikelola  teliti  kom "
"715","Netral",0,"hut kori pemerintah kecamatan panakkukang gelar ucara "
"716","Netral",0,"tanggabencana gem cianjur rsud slg mengirimkan  tim relawan medis tim farmasi  tugas  sia "
"717","Negatif",-1," pemerintah    memrkenalkan k asli kpd masyarakat  masyarakat terbiasa"
"718","Netral",0,"aesiasi  merintahbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"719","Netral",0,"humor    menjatuhkan merintah teta humor  membantu membusukkan rezim reformasi sekbola "
"720","Netral",0," dih sakit hati emang dzalim nya merintah dmn sie drun kriminalisasi ulamaitu sie emg k "
"721","Negatif",-1," yg berhak melarang  institusi  institusi merintah"
"722","Netral",0,"terimaksih merintah bantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"723","Netral",0,"   berurutan  tch bannernya diembat emang akalan merintah"
"724","Negatif",-1," pd  zaire brhadan dgn brasil pemerintah zaire mengancam ra main dgn tdk  lang kerumah abila klah lbih dri gol"
"725","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"726","Netral",0,"  dukung pemerintah bangun ikn nusantara kotaduniauntuksemua "
"727","Positif",2,"pemerintah oimis indonesia  mengungguli negara maju   oimisme  terbukti  suksesnya indo "
"728","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"729","Negatif",-1," bilangin  merintahkl  ngurus orang haji meretkan  mensubsidi haji memberatkanmendi "
"730","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"731","Negatif",-1," kalo   bilang  sindiran  merintah is  ngga sentar  bikin kritik pinteran ud"
"732","Netral",0,"pemerintah  memantau nyaluran bltbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasaran "
"733","Netral",0,"aesiasi  merintahbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"734","Netral",0,"terimaksih merintah bantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"735","Positif",1,"tren kendaraan listrik  tumbuh  langkah pertamina lubricantssiamendukung ogram pemerintah terkait tre "
"736","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"737","Negatif",-1,"save ekonomi kerakyatan  sri untari menolak korasi simn njam diawasi ojk  usaha simn njam kora "
"738","Netral",0,"   korasi  domain merintah  domain ojk     efektif  ojk  "
"739","Negatif",-1,"korasi simn njam menolak diawasi ojk    diatur  usaha simn njam korasi  domain "
"740","Netral",0,"korasi  domain  ojk  domain merintah kementerian korasi  ukm "
"741","Positif",1,"inforaka pemerintah kota pemkot bandung menyalurkan bantuan sosial  rangka ngendalian inflasi   "
"742","Positif",1,"aesiasi kerja keras pemerintah  menteri erick thohir  langsung  cet  mengantisisi kebija "
"743","Netral",0,"merintah  rlu  struktur kelembagaan   tolakojkdikorasisave eko "
"744","Netral",0," lobi menteri erick thohir  mewakili merintah indonesia berhasil mengajak fifa terjun langsung menata  "
"745","Positif",2,"terima kasih  kerelaan merintah  turun langsung  ncinta sekbola indonesia nya haran untu "
"746","Netral",0,"minat investor  pemerintah perluas area investasi  iknkotaduniauntuksemuaiknsejahterakanindonesia "
"747","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"748","Negatif",-1,"  masyarakat udah ngeluh  bebera minggu   ta   ditangga merintah  stb mahal "
"749","Positif",1," semoga ra tani  memanfaatkan subsidi  merintah "
"750","Positif",1,"pemerintah  meningkatkan ketahan ngan jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"751","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"752","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"753","Netral",0," aktis  a indikatornya coba mas samin aja indikator ilmiahnya fakta  sekar "
"754","Netral",0,"aesiasi  merintahbantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"755","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"756","Netral",0,"terimaksih merintah bantuanbbmuntukrakyatbltbbmtetsasaransubsiditetsasarancerdaspakaibbm "
"757","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"758","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"759","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"760","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"761","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"762","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"763","Netral",0,"pemerintah  rkuat mbangunan sdm jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"764","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"765","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"766","Netral",0,"kalrestabes medan kombes pol valentino alfa tatareda sh sik  kabag o  kasat intel polrestabes med "
"767","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"768","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"769","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"770","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"771","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"772","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"773","Netral",0,"kakanwil kemenkumham jateng a yuspahruddin laksanakan home visit pk bas nusakambangan  pemerintah setem "
"774","Negatif",-1,"     kejahatan terhadamasyarakat yg    pemerintah d "
"775","Negatif",-1,"   batalin pemda  alasan taman direnovasi trus mo nyalahin pemerintah pusat  "
